melody_idx	keyword	sentence_length	word_boundary	contour_symbol
9	玫瑰	10	<b0> <b0> <b1> <b0> <b0> <b1> <b0> <b0> <b0> <b1>	<m> <l> <h> <m> <l> <m> <l> <m> <l> <h>
9	太阳	9	<b0> <b0> <b0> <b0> <b0> <b0> <b1> <b0> <b0>	<m> <h> <h> <h> <h> <h> <m> <l> <l>
10	缘分	13	<b0> <b0> <b1> <b0> <b0> <b1> <b0> <b0> <b1> <b0> <b0> <b1> <b0>	<m> <m> <h> <m> <h> <h> <m> <m> <m> <l> <m> <m> <l>
10	勇气	8	<b0> <b0> <b1> <b0> <b1> <b0> <b0> <b1>	<m> <m> <l> <m> <h> <m> <m> <m>
10	白云	8	<b0> <b0> <b0> <b0> <b0> <b0> <b0> <b1>	<h> <m> <l> <m> <h> <h> <h> <h>
10	天空	9	<b0> <b0> <b1> <b0> <b0> <b0> <b0> <b0> <b0>	<h> <m> <l> <h> <m> <h> <h> <h> <h>
11	感觉	8	<b0> <b0> <b0> <b0> <b0> <b0> <b0> <b0>	<m> <h> <h> <h> <h> <m> <m> <l>
11	梦想	7	<b0> <b0> <b0> <b0> <b0> <b0> <b0>	<m> <m> <h> <m> <h> <h> <h>
11	眼泪	9	<b0> <b0> <b0> <b0> <b0> <b0> <b0> <b0> <b1>	<h> <h> <h> <m> <l> <l> <m> <h> <l>
11	眼睛	7	<b0> <b0> <b0> <b0> <b0> <b0> <b0>	<m> <h> <l> <m> <m> <h> <m>
12	人生	8	<b0> <b0> <b1> <b0> <b1> <b0> <b1> <b0>	<m> <h> <h> <h> <m> <m> <h> <m>
12	心情	9	<b0> <b0> <b1> <b0> <b0> <b1> <b0> <b0> <b1>	<h> <h> <h> <m> <m> <h> <l> <l> <l>
12	阳光	9	<b0> <b0> <b1> <b0> <b0> <b0> <b1> <b0> <b1>	<m> <m> <h> <m> <l> <h> <h> <h> <h>
12	微笑	7	<b0> <b0> <b0> <b0> <b0> <b1> <b0>	<m> <m> <l> <m> <h> <h> <m>
